mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__solver,param_lr__penalty,param_lr__class_weight,param_lr__C,params,split0_test_business_loss,split1_test_business_loss,split2_test_business_loss,split3_test_business_loss,split4_test_business_loss,split5_test_business_loss,split6_test_business_loss,split7_test_business_loss,split8_test_business_loss,split9_test_business_loss,split10_test_business_loss,split11_test_business_loss,split12_test_business_loss,split13_test_business_loss,split14_test_business_loss,split15_test_business_loss,split16_test_business_loss,split17_test_business_loss,split18_test_business_loss,split19_test_business_loss,mean_test_business_loss,std_test_business_loss,rank_test_business_loss,split0_test_fbeta_loss,split1_test_fbeta_loss,split2_test_fbeta_loss,split3_test_fbeta_loss,split4_test_fbeta_loss,split5_test_fbeta_loss,split6_test_fbeta_loss,split7_test_fbeta_loss,split8_test_fbeta_loss,split9_test_fbeta_loss,split10_test_fbeta_loss,split11_test_fbeta_loss,split12_test_fbeta_loss,split13_test_fbeta_loss,split14_test_fbeta_loss,split15_test_fbeta_loss,split16_test_fbeta_loss,split17_test_fbeta_loss,split18_test_fbeta_loss,split19_test_fbeta_loss,mean_test_fbeta_loss,std_test_fbeta_loss,rank_test_fbeta_loss
22.471431255340576,9.038522381342444,40.89651507139206,1.2616154088500144,liblinear,l2,"{0: 0.95, 1: 0.05}",1000.0,"{'lr__solver': 'liblinear', 'lr__penalty': 'l2', 'lr__class_weight': {0: 0.95, 1: 0.05}, 'lr__C': 1000.0}",-194438.0,-195093.0,-199489.0,-197054.0,-203530.0,-194863.0,-193516.0,-195577.0,-193042.0,-179532.0,-195279.0,-170516.0,-193581.0,-188477.0,-184943.0,-193097.0,-195231.0,-194542.0,-191446.0,-185264.0,-191925.5,7108.469416829477,9,0.05547867045426954,0.05151695563952711,0.02480540586776152,0.03959262237165899,0.0,0.052899448533877506,0.06099631354287932,0.04862689796861133,0.06391692617140642,0.14370451540669626,0.05037676227515799,0.1954155672823219,0.06068579188592768,0.09119053642200618,0.11211703339528747,0.06350976280800417,0.05067629151627839,0.05482229804388212,0.07346450122743158,0.11023943188906482,0.07020178663510253,0.04208288345201058,9
184.73994207382202,450.17153919953824,43.11175298690796,1.8823310481535644,newton-cg,l2,"{0: 0.55, 1: 0.45}",10.0,"{'lr__solver': 'newton-cg', 'lr__penalty': 'l2', 'lr__class_weight': {0: 0.55, 1: 0.45}, 'lr__C': 10.0}",-128001.0,-129483.0,-1788.0,-121904.0,-127897.0,-131701.0,-127731.0,-133163.0,-115298.0,-152704.0,-142509.0,-1788.0,-136610.0,-149851.0,-139153.0,-130991.0,-128875.0,-115730.0,-142711.0,-127914.0,-119290.1,40284.17859892392,3,0.42462488671075155,0.4170401075509746,0.9827334794742789,0.45562537469192,0.4251702582109748,0.40561639988767195,0.42601724195766666,0.39806032785409706,0.48868040873854834,0.2943277940396893,0.3490582143060376,0.9827334794742789,0.3801129943502825,0.30977973770642414,0.36675925401054355,0.4092720435539092,0.4201563059835185,0.4865403898493714,0.347978050002277,0.4250894454382827,0.459768809689575,0.18105667112591567,3
21.051215958595275,4.817679840007331,42.13074270486832,1.1339138762537364,liblinear,l2,"{0: 0.55, 1: 0.45}",10.0,"{'lr__solver': 'liblinear', 'lr__penalty': 'l2', 'lr__class_weight': {0: 0.55, 1: 0.45}, 'lr__C': 10.0}",-133683.0,-127485.0,-152085.0,-128130.0,-127788.0,-137610.0,-153473.0,-132948.0,-118177.0,-151550.0,-133910.0,-122517.0,-124117.0,-142309.0,-107299.0,-141562.0,-109518.0,-114908.0,-131831.0,-151959.0,-132142.95,13574.246360203575,4,0.39532237531403847,0.4272763855044599,0.2977040346352247,0.42397906110533196,0.42572818247889527,0.3748868778280543,0.29008919608137274,0.39917667701444187,0.4743384343406441,0.30058921009022277,0.39417217647920155,0.45253041497694574,0.44443207746674834,0.35011662968652213,0.5280591085694328,0.3540441887174356,0.5172111954832921,0.4906212848399454,0.40494540062014106,0.2983742832799871,0.40217985972561693,0.07020065860935128,4
9.744403326511383,0.9800370155331118,43.36352434158325,1.506142512570665,lbfgs,l2,"{0: 0.05, 1: 0.95}",0.1,"{'lr__solver': 'lbfgs', 'lr__penalty': 'l2', 'lr__class_weight': {0: 0.05, 1: 0.95}, 'lr__C': 0.1}",-190758.0,-203210.0,-203141.0,-193505.0,-189637.0,-203310.0,-192293.0,-199454.0,-203370.0,-200188.0,-198851.0,-189417.0,-194641.0,-203360.0,-174689.0,-202602.0,-185302.0,-197055.0,-191351.0,-203220.0,-195967.7,7492.130231783214,14,0.07756995795273308,0.0019645400520603112,0.0023940480282865985,0.0610569460613116,0.0842723741041913,0.0013507871405064222,0.06839779674353853,0.02498930775340625,0.0009824630348283145,0.020546437394516052,0.02869247768702001,0.08557678390505137,0.054275896402248745,0.0010438541551535696,0.1717302025019824,0.00570503146968972,0.10996196623753703,0.039647738069136886,0.07405571407844465,0.0019031715432879434,0.04580587471574654,0.04493853828276123,14
585.6046416997909,816.3700471021283,42.27391880750656,1.335361185581557,newton-cg,l2,"{0: 0.55, 1: 0.45}",100.0,"{'lr__solver': 'newton-cg', 'lr__penalty': 'l2', 'lr__class_weight': {0: 0.55, 1: 0.45}, 'lr__C': 100.0}",-1788.0,-1788.0,-1788.0,-122495.0,-128322.0,-136220.0,-1787.0,-135856.0,-112386.0,-152672.0,-142448.0,-1788.0,-135438.0,-149514.0,-133878.0,-131568.0,-1787.0,-136070.0,-141744.0,-127208.0,-94827.25,61485.66582535722,2,0.9827334794742789,0.9827334794742789,0.9827334794742789,0.4526415199155603,0.422993006993007,0.3821389842761613,0.9827429697156982,0.38405968868872253,0.5030890954382345,0.2944972630365889,0.3493797655627632,0.9827334794742789,0.3862297745582561,0.3115996097113011,0.3943292291401472,0.4062949317038102,0.9827429697156982,0.3829390842883758,0.3530977074235809,0.4286991007093783,0.56742043093872,0.2753619473369462,1
196.72354545593262,95.35544627096155,38.90607904195785,1.476673008030464,newton-cg,l2,"{0: 0.05, 1: 0.95}",1000.0,"{'lr__solver': 'newton-cg', 'lr__penalty': 'l2', 'lr__class_weight': {0: 0.05, 1: 0.95}, 'lr__C': 1000.0}",-1788.0,-203192.0,-1788.0,-1788.0,-203151.0,-203061.0,-1787.0,-1787.0,-203530.0,-1787.0,-202991.0,-200645.0,-203340.0,-1788.0,-203480.0,-1787.0,-1787.0,-1787.0,-203510.0,-1787.0,-92328.05,100098.11724376988,1,0.9827334794742789,0.002087221294568314,0.9827334794742789,0.9827334794742789,0.0023326908202477565,0.0028848514608396762,0.9827429697156982,0.9827429697156982,0.0,0.9827429697156982,0.003314225391876466,0.017744165840645153,0.0011666318723827535,0.9827334794742789,0.0003070611788692779,0.9827429697156982,0.9827429697156982,0.9827429697156982,0.00012282899746972266,0.9827429697156982,0.542004719138195,0.48726326032537864,2
36.187754368782045,13.959602107173652,41.79526104927063,1.9832388793342035,liblinear,l2,"{0: 0.95, 1: 0.05}",10.0,"{'lr__solver': 'liblinear', 'lr__penalty': 'l2', 'lr__class_weight': {0: 0.95, 1: 0.05}, 'lr__C': 10.0}",-196461.0,-192597.0,-191208.0,-191582.0,-194042.0,-194675.0,-193973.0,-196174.0,-197637.0,-178530.0,-196877.0,-194555.0,-191624.0,-188487.0,-192335.0,-193356.0,-196122.0,-195042.0,-190826.0,-189426.0,-192776.45,4085.6673197288105,10,0.04321205555487931,0.0665512062784614,0.07494258431040735,0.0726338070758996,0.05792864161884774,0.05403961285778475,0.058241824910513856,0.045014355929728946,0.03608391949384989,0.14948545595146034,0.04067862667007686,0.054813645744810006,0.07244448744618064,0.09113140268876789,0.0681573308475479,0.06195441319107663,0.04526208205577456,0.05181819286330446,0.07715545888465954,0.08556749520604942,0.06535582997900405,0.02429795461204513,10
14.538647150993347,1.3927412275049678,42.621934747695924,1.5727107346428615,lbfgs,l2,"{0: 0.95, 1: 0.05}",1000.0,"{'lr__solver': 'lbfgs', 'lr__penalty': 'l2', 'lr__class_weight': {0: 0.95, 1: 0.05}, 'lr__C': 1000.0}",-196620.0,-194308.0,-190611.0,-194166.0,-203530.0,-191903.0,-192066.0,-196790.0,-194311.0,-187968.0,-196769.0,-192400.0,-190401.0,-194517.0,-191658.0,-192471.0,-196664.0,-194762.0,-193482.0,-189545.0,-193747.1,3312.707561798958,12,0.042247004967371195,0.056258875793511104,0.07850905269769184,0.05710020752679038,0.0,0.07072503751028507,0.06971677559912853,0.04127602581273591,0.05625682728486466,0.09415560960339056,0.041341938626400385,0.06779496864482701,0.07975704591011182,0.05499908941904936,0.0722113360911532,0.06727299149853466,0.042003506379663,0.05350094127649238,0.06123141838640057,0.08485718421306569,0.05956079186207336,0.020035845891130433,12
10.374052631855012,2.2784831696763335,41.78444969654083,1.1712509850760897,lbfgs,l2,"{0: 0.05, 1: 0.95}",1.0,"{'lr__solver': 'lbfgs', 'lr__penalty': 'l2', 'lr__class_weight': {0: 0.05, 1: 0.95}, 'lr__C': 1.0}",-190729.0,-203210.0,-203141.0,-189371.0,-189646.0,-203150.0,-186938.0,-199454.0,-203370.0,-196264.0,-199239.0,-188591.0,-195028.0,-203360.0,-191333.0,-202612.0,-185322.0,-196935.0,-191192.0,-202931.0,-196090.8,6271.045746922917,15,0.07774743862362267,0.0019645400520603112,0.0023940480282865985,0.08582008539792055,0.0842140823319338,0.002332719459791283,0.10032580338787433,0.02498930775340625,0.0009824630348283145,0.044471753440325106,0.026324790501087197,0.09048737875775649,0.051934641316892426,0.0010438541551535696,0.07417303414256697,0.005643756287880646,0.10984462175295458,0.040372670807453416,0.07500755515261408,0.0036822014655161833,0.045187837292496244,0.037943807354331865,15
6.578623163700104,0.5564999134266776,40.26724321842194,0.8342700561867461,lbfgs,l2,"{0: 0.55, 1: 0.45}",100.0,"{'lr__solver': 'lbfgs', 'lr__penalty': 'l2', 'lr__class_weight': {0: 0.55, 1: 0.45}, 'lr__C': 100.0}",-156614.0,-174824.0,-169007.0,-170538.0,-158273.0,-162660.0,-144179.0,-170674.0,-162368.0,-142833.0,-175313.0,-169490.0,-160743.0,-135929.0,-162087.0,-138264.0,-164235.0,-149572.0,-165986.0,-141403.0,-158749.6,12158.15088490022,7,0.2729820173457927,0.17079237237948597,0.20394365534756845,0.19529777610252544,0.263954445823234,0.23956182409967455,0.3402016009487104,0.19454817467516405,0.24123216117899451,0.3473613514251889,0.16799004503436832,0.20122819194616662,0.250270515550281,0.3836907449209932,0.24276088781124686,0.3714667360961749,0.23078451540511477,0.3113380766582511,0.22097667826311043,0.3549475645643257,0.2602664667788187,0.06657727859626107,7
